          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    9.200    47    50    48.3   2415 464476 |   50  9201    1.3368    0.0267    0.0006 |
    9.250    46    49    47.6   2381 466857 |   50  9251    1.3181    0.0264    0.0006 |
    9.300    46    47    46.1   2303 469160 |   50  9301    1.2753    0.0255    0.0006 |
    9.350    44    46    45.1   2256 471416 |   50  9351    1.2513    0.0250    0.0006 |
    9.400    45    49    46.2   2308 473724 |   50  9401    1.2741    0.0255    0.0006 |
    9.450    49    49    49.0   2450 476174 |   50  9451    1.3563    0.0271    0.0006 |
    9.500    46    49    47.9   2394 478568 |   50  9501    1.3250    0.0265    0.0006 |
    9.550    45    46    45.7   2285 480853 |   50  9551    1.2664    0.0253    0.0006 |
    9.600    42    45    43.5   2176 483029 |   50  9601    1.2080    0.0242    0.0006 |
    9.650    42    43    42.9   2144 485173 |   50  9651    1.1900    0.0238    0.0006 |
    9.700    42    43    42.8   2138 487311 |   50  9701    1.1875    0.0238    0.0006 |
    9.750    42    43    42.6   2132 489443 |   50  9751    1.1802    0.0236    0.0006 |
    9.800    42    43    42.1   2104 491547 |   50  9801    1.1670    0.0233    0.0006 |
    9.850    38    42    39.3   1963 493510 |   50  9851    1.0956    0.0219    0.0006 |
    9.900    35    38    37.2   1861 495371 |   50  9901    1.0418    0.0208    0.0006 |
    9.950    35    36    35.5   1776 497147 |   50  9951    0.9969    0.0199    0.0006 |
   10.000    35    36    35.0   1752 498899 |   50 10001    0.9846    0.0197    0.0006 |
