          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    8.050    16    17    16.9    846  93560 |   50  8051    0.0432    0.0009    0.0001 |
    8.100    17    17    17.0    850  94410 |   50  8101    0.0439    0.0009    0.0001 |
    8.150    17    17    17.0    850  95260 |   50  8151    0.0434    0.0009    0.0001 |
    8.200    16    17    17.0    849  96109 |   50  8201    0.0412    0.0008    0.0000 |
    8.250    16    16    16.0    800  96909 |   50  8251    0.0407    0.0008    0.0001 |
    8.300    16    17    16.1    803  97712 |   50  8301    0.0408    0.0008    0.0001 |
    8.350    17    17    17.0    850  98562 |   50  8351    0.0430    0.0009    0.0001 |
    8.400    16    17    16.6    832  99394 |   50  8401    0.0423    0.0008    0.0001 |
    8.450    16    17    16.5    827 100221 |   50  8451    0.0414    0.0008    0.0001 |
    8.500    16    17    16.9    844 101065 |   50  8501    0.0426    0.0009    0.0001 |
    8.550    16    16    16.0    800 101865 |   50  8551    0.0411    0.0008    0.0001 |
    8.600    16    16    16.0    800 102665 |   50  8601    0.0407    0.0008    0.0001 |
    8.650    16    16    16.0    800 103465 |   50  8651    0.0405    0.0008    0.0001 |
    8.700    16    17    16.9    845 104310 |   50  8701    0.0429    0.0009    0.0001 |
    8.750    16    17    16.7    834 105144 |   50  8751    0.0407    0.0008    0.0000 |
    8.800    16    17    16.9    845 105989 |   50  8801    0.0415    0.0008    0.0000 |
    8.850    16    17    16.1    805 106794 |   50  8851    0.0423    0.0008    0.0001 |
    8.900    16    16    16.0    800 107594 |   50  8901    0.0429    0.0009    0.0001 |
    8.950    16    16    16.0    800 108394 |   50  8951    0.0424    0.0008    0.0001 |
    9.000    16    17    16.2    809 109203 |   50  9001    0.0418    0.0008    0.0001 |
    9.050    17    17    17.0    850 110053 |   50  9051    0.0435    0.0009    0.0001 |
    9.100    16    17    16.7    837 110890 |   50  9101    0.0433    0.0009    0.0001 |
    9.150    16    16    16.0    800 111690 |   50  9151    0.0405    0.0008    0.0001 |
    9.200    16    16    16.0    800 112490 |   50  9201    0.0397    0.0008    0.0000 |
    9.250    16    16    16.0    800 113290 |   50  9251    0.0400    0.0008    0.0001 |
    9.300    16    16    16.0    800 114090 |   50  9301    0.0405    0.0008    0.0001 |
    9.350    16    16    16.0    800 114890 |   50  9351    0.0413    0.0008    0.0001 |
    9.400    16    16    16.0    800 115690 |   50  9401    0.0397    0.0008    0.0000 |
    9.450    16    16    16.0    800 116490 |   50  9451    0.0415    0.0008    0.0001 |
    9.500    16    16    16.0    800 117290 |   50  9501    0.0392    0.0008    0.0000 |
    9.550    15    16    15.2    758 118048 |   50  9551    0.0388    0.0008    0.0001 |
    9.600    15    15    15.0    750 118798 |   50  9601    0.0381    0.0008    0.0001 |
    9.650    15    15    15.0    750 119548 |   50  9651    0.0388    0.0008    0.0001 |
    9.700    15    15    15.0    750 120298 |   50  9701    0.0391    0.0008    0.0001 |
    9.750    15    15    15.0    750 121048 |   50  9751    0.0388    0.0008    0.0001 |
    9.800    15    15    15.0    750 121798 |   50  9801    0.0371    0.0007    0.0000 |
    9.850    15    15    15.0    750 122548 |   50  9851    0.0381    0.0008    0.0001 |
    9.900    14    15    14.9    744 123292 |   50  9901    0.0379    0.0008    0.0001 |
    9.950    14    14    14.0    700 123992 |   50  9951    0.0352    0.0007    0.0001 |
   10.000    14    14    14.0    700 124692 |   50 10001    0.0363    0.0007    0.0001 |
