          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    1.740     7     7     7.0     70  13491 |   10  1741    0.0024    0.0002    0.0000 |
    1.750     7     7     7.0     70  13561 |   10  1751    0.0024    0.0002    0.0000 |
    1.760     7     7     7.0     70  13631 |   10  1761    0.0024    0.0002    0.0000 |
    1.770     7     7     7.0     70  13701 |   10  1771    0.0026    0.0003    0.0000 |
    1.780     7     7     7.0     70  13771 |   10  1781    0.0024    0.0002    0.0000 |
    1.790     7     7     7.0     70  13841 |   10  1791    0.0026    0.0003    0.0000 |
    1.800     7     7     7.0     70  13911 |   10  1801    0.0025    0.0002    0.0000 |
    1.810     7     7     7.0     70  13981 |   10  1811    0.0025    0.0002    0.0000 |
    1.820     7     7     7.0     70  14051 |   10  1821    0.0025    0.0003    0.0000 |
    1.830     7     7     7.0     70  14121 |   10  1831    0.0026    0.0003    0.0000 |
    1.840     7     7     7.0     70  14191 |   10  1841    0.0024    0.0002    0.0000 |
    1.850     7     7     7.0     70  14261 |   10  1851    0.0024    0.0002    0.0000 |
    1.860     7     7     7.0     70  14331 |   10  1861    0.0026    0.0003    0.0000 |
    1.870     7     7     7.0     70  14401 |   10  1871    0.0027    0.0003    0.0000 |
    1.880     7     7     7.0     70  14471 |   10  1881    0.0025    0.0003    0.0000 |
    1.890     7     7     7.0     70  14541 |   10  1891    0.0024    0.0002    0.0000 |
    1.900     7     7     7.0     70  14611 |   10  1901    0.0026    0.0003    0.0000 |
    1.910     7     7     7.0     70  14681 |   10  1911    0.0024    0.0002    0.0000 |
    1.920     7     7     7.0     70  14751 |   10  1921    0.0025    0.0002    0.0000 |
    1.930     7     7     7.0     70  14821 |   10  1931    0.0024    0.0002    0.0000 |
    1.940     7     7     7.0     70  14891 |   10  1941    0.0026    0.0003    0.0000 |
    1.950     7     7     7.0     70  14961 |   10  1951    0.0025    0.0002    0.0000 |
    1.960     7     7     7.0     70  15031 |   10  1961    0.0024    0.0002    0.0000 |
    1.970     7     7     7.0     70  15101 |   10  1971    0.0025    0.0003    0.0000 |
    1.980     7     7     7.0     70  15171 |   10  1981    0.0024    0.0002    0.0000 |
    1.990     7     7     7.0     70  15241 |   10  1991    0.0025    0.0002    0.0000 |
    2.000     7     7     7.0     70  15311 |   10  2001    0.0026    0.0003    0.0000 |
    2.010    10    11    10.7    107  15418 |   10  2011    0.0036    0.0004    0.0000 |
    2.020    11    11    11.0    110  15528 |   10  2021    0.0034    0.0003    0.0000 |
    2.030    11    12    11.7    117  15645 |   10  2031    0.0040    0.0004    0.0000 |
    2.040    12    12    12.0    120  15765 |   10  2041    0.0036    0.0004    0.0000 |
    2.050    12    12    12.0    120  15885 |   10  2051    0.0035    0.0004    0.0000 |
    2.060    12    12    12.0    120  16005 |   10  2061    0.0036    0.0004    0.0000 |
    2.070    12    12    12.0    120  16125 |   10  2071    0.0040    0.0004    0.0000 |
    2.080    12    12    12.0    120  16245 |   10  2081    0.0039    0.0004    0.0000 |
    2.090    12    12    12.0    120  16365 |   10  2091    0.0044    0.0004    0.0000 |
    2.100    12    12    12.0    120  16485 |   10  2101    0.0037    0.0004    0.0000 |
    2.110    11    12    11.6    116  16601 |   10  2111    0.0037    0.0004    0.0000 |
    2.120    11    11    11.0    110  16711 |   10  2121    0.0035    0.0003    0.0000 |
    2.130    11    11    11.0    110  16821 |   10  2131    0.0034    0.0003    0.0000 |
    2.140    11    11    11.0    110  16931 |   10  2141    0.0033    0.0003    0.0000 |
    2.150    11    11    11.0    110  17041 |   10  2151    0.0036    0.0004    0.0000 |
    2.160    11    11    11.0    110  17151 |   10  2161    0.0035    0.0003    0.0000 |
    2.170    11    11    11.0    110  17261 |   10  2171    0.0037    0.0004    0.0000 |
    2.180    11    11    11.0    110  17371 |   10  2181    0.0034    0.0003    0.0000 |
    2.190    11    11    11.0    110  17481 |   10  2191    0.0033    0.0003    0.0000 |
    2.200    11    11    11.0    110  17591 |   10  2201    0.0033    0.0003    0.0000 |
    2.210    11    11    11.0    110  17701 |   10  2211    0.0036    0.0004    0.0000 |
    2.220    11    11    11.0    110  17811 |   10  2221    0.0035    0.0003    0.0000 |
    2.230    11    11    11.0    110  17921 |   10  2231    0.0035    0.0004    0.0000 |
    2.240    11    11    11.0    110  18031 |   10  2241    0.0035    0.0003    0.0000 |
