          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    2.690    21    22    21.7    217  34133 |   10  2691    0.0405    0.0040    0.0002 |
    2.700    21    21    21.0    210  34343 |   10  2701    0.0394    0.0039    0.0002 |
    2.710    21    21    21.0    210  34553 |   10  2711    0.0396    0.0040    0.0002 |
    2.720    21    21    21.0    210  34763 |   10  2721    0.0396    0.0040    0.0002 |
    2.730    21    21    21.0    210  34973 |   10  2731    0.0399    0.0040    0.0002 |
    2.740    21    21    21.0    210  35183 |   10  2741    0.0389    0.0039    0.0002 |
    2.750    21    21    21.0    210  35393 |   10  2751    0.0392    0.0039    0.0002 |
    2.760    21    21    21.0    210  35603 |   10  2761    0.0386    0.0039    0.0002 |
    2.770    21    21    21.0    210  35813 |   10  2771    0.0406    0.0041    0.0002 |
    2.780    21    21    21.0    210  36023 |   10  2781    0.0382    0.0038    0.0002 |
    2.790    21    21    21.0    210  36233 |   10  2791    0.0392    0.0039    0.0002 |
    2.800    21    21    21.0    210  36443 |   10  2801    0.0387    0.0039    0.0002 |
    2.810    21    21    21.0    210  36653 |   10  2811    0.0394    0.0039    0.0002 |
    2.820    21    21    21.0    210  36863 |   10  2821    0.0393    0.0039    0.0002 |
    2.830    21    21    21.0    210  37073 |   10  2831    0.0383    0.0038    0.0002 |
    2.840    21    21    21.0    210  37283 |   10  2841    0.0388    0.0039    0.0002 |
    2.850    21    21    21.0    210  37493 |   10  2851    0.0394    0.0039    0.0002 |
    2.860    21    21    21.0    210  37703 |   10  2861    0.0386    0.0039    0.0002 |
    2.870    21    21    21.0    210  37913 |   10  2871    0.0375    0.0037    0.0002 |
    2.880    21    21    21.0    210  38123 |   10  2881    0.0411    0.0041    0.0002 |
    2.890    21    21    21.0    210  38333 |   10  2891    0.0421    0.0042    0.0002 |
    2.900    21    21    21.0    210  38543 |   10  2901    0.0390    0.0039    0.0002 |
    2.910    21    21    21.0    210  38753 |   10  2911    0.0391    0.0039    0.0002 |
    2.920    21    21    21.0    210  38963 |   10  2921    0.0389    0.0039    0.0002 |
    2.930    21    21    21.0    210  39173 |   10  2931    0.0388    0.0039    0.0002 |
    2.940    21    21    21.0    210  39383 |   10  2941    0.0393    0.0039    0.0002 |
    2.950    21    21    21.0    210  39593 |   10  2951    0.0391    0.0039    0.0002 |
    2.960    21    21    21.0    210  39803 |   10  2961    0.0404    0.0040    0.0002 |
    2.970    21    21    21.0    210  40013 |   10  2971    0.0392    0.0039    0.0002 |
    2.980    20    21    20.1    201  40214 |   10  2981    0.0362    0.0036    0.0002 |
    2.990    20    20    20.0    200  40414 |   10  2991    0.0367    0.0037    0.0002 |
    3.000    20    20    20.0    200  40614 |   10  3001    0.0369    0.0037    0.0002 |
    3.010    19    20    19.5    195  40809 |   10  3011    0.0362    0.0036    0.0002 |
