          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    0.850     5     5     5.0     25   4011 |    5   851    0.0078    0.0016    0.0003 |
    0.855     5     5     5.0     25   4036 |    5   856    0.0071    0.0014    0.0003 |
    0.860     5     5     5.0     25   4061 |    5   861    0.0074    0.0015    0.0003 |
    0.865     5     5     5.0     25   4086 |    5   866    0.0072    0.0014    0.0003 |
    0.870     5     5     5.0     25   4111 |    5   871    0.0074    0.0015    0.0003 |
    0.875     5     5     5.0     25   4136 |    5   876    0.0071    0.0014    0.0003 |
    0.880     5     5     5.0     25   4161 |    5   881    0.0067    0.0013    0.0003 |
    0.885     5     5     5.0     25   4186 |    5   886    0.0068    0.0014    0.0003 |
    0.890     5     5     5.0     25   4211 |    5   891    0.0067    0.0013    0.0003 |
    0.895     5     5     5.0     25   4236 |    5   896    0.0068    0.0014    0.0003 |
    0.900     5     5     5.0     25   4261 |    5   901    0.0076    0.0015    0.0003 |
    0.905     5     5     5.0     25   4286 |    5   906    0.0064    0.0013    0.0003 |
    0.910     5     5     5.0     25   4311 |    5   911    0.0070    0.0014    0.0003 |
    0.915     5     5     5.0     25   4336 |    5   916    0.0084    0.0017    0.0003 |
    0.920     5     5     5.0     25   4361 |    5   921    0.0078    0.0016    0.0003 |
    0.925     5     5     5.0     25   4386 |    5   926    0.0074    0.0015    0.0003 |
    0.930     5     5     5.0     25   4411 |    5   931    0.0084    0.0017    0.0003 |
    0.935     5     5     5.0     25   4436 |    5   936    0.0063    0.0013    0.0003 |
    0.940     5     5     5.0     25   4461 |    5   941    0.0070    0.0014    0.0003 |
    0.945     5     5     5.0     25   4486 |    5   946    0.0074    0.0015    0.0003 |
    0.950     5     5     5.0     25   4511 |    5   951    0.0065    0.0013    0.0003 |
    0.955     5     5     5.0     25   4536 |    5   956    0.0073    0.0015    0.0003 |
    0.960     5     5     5.0     25   4561 |    5   961    0.0081    0.0016    0.0003 |
    0.965     5     5     5.0     25   4586 |    5   966    0.0081    0.0016    0.0003 |
    0.970     5     5     5.0     25   4611 |    5   971    0.0074    0.0015    0.0003 |
    0.975     5     5     5.0     25   4636 |    5   976    0.0072    0.0014    0.0003 |
    0.980     5     5     5.0     25   4661 |    5   981    0.0087    0.0017    0.0003 |
    0.985     5     5     5.0     25   4686 |    5   986    0.0069    0.0014    0.0003 |
    0.990     5     5     5.0     25   4711 |    5   991    0.0066    0.0013    0.0003 |
    0.995     5     5     5.0     25   4736 |    5   996    0.0068    0.0014    0.0003 |
    1.000     5     5     5.0     25   4761 |    5  1001    0.0064    0.0013    0.0003 |
    1.005     5     5     5.0     25   4786 |    5  1006    0.0061    0.0012    0.0002 |
    1.010     5     5     5.0     25   4811 |    5  1011    0.0065    0.0013    0.0003 |
    1.015     5     5     5.0     25   4836 |    5  1016    0.0066    0.0013    0.0003 |
    1.020     5     5     5.0     25   4861 |    5  1021    0.0067    0.0013    0.0003 |
    1.025     5     5     5.0     25   4886 |    5  1026    0.0066    0.0013    0.0003 |
    1.030     5     5     5.0     25   4911 |    5  1031    0.0081    0.0016    0.0003 |
    1.035     5     5     5.0     25   4936 |    5  1036    0.0063    0.0013    0.0003 |
    1.040     5     5     5.0     25   4961 |    5  1041    0.0081    0.0016    0.0003 |
    1.045     5     5     5.0     25   4986 |    5  1046    0.0065    0.0013    0.0003 |
    1.050     5     5     5.0     25   5011 |    5  1051    0.0086    0.0017    0.0003 |
    1.055     5     5     5.0     25   5036 |    5  1056    0.0076    0.0015    0.0003 |
    1.060     5     5     5.0     25   5061 |    5  1061    0.0066    0.0013    0.0003 |
    1.065     5     5     5.0     25   5086 |    5  1066    0.0075    0.0015    0.0003 |
    1.070     5     5     5.0     25   5111 |    5  1071    0.0064    0.0013    0.0003 |
    1.075     5     5     5.0     25   5136 |    5  1076    0.0064    0.0013    0.0003 |
    1.080     5     5     5.0     25   5161 |    5  1081    0.0069    0.0014    0.0003 |
    1.085     5     5     5.0     25   5186 |    5  1086    0.0068    0.0014    0.0003 |
    1.090     5     5     5.0     25   5211 |    5  1091    0.0073    0.0015    0.0003 |
    1.095     5     5     5.0     25   5236 |    5  1096    0.0065    0.0013    0.0003 |
    1.100     5     5     5.0     25   5261 |    5  1101    0.0084    0.0017    0.0003 |
    1.105     5     5     5.0     25   5286 |    5  1106    0.0072    0.0014    0.0003 |
    1.110     5     5     5.0     25   5311 |    5  1111    0.0064    0.0013    0.0003 |
    1.115     5     5     5.0     25   5336 |    5  1116    0.0080    0.0016    0.0003 |
    1.120     5     5     5.0     25   5361 |    5  1121    0.0073    0.0015    0.0003 |
    1.125     5     5     5.0     25   5386 |    5  1126    0.0067    0.0013    0.0003 |
    1.130     5     5     5.0     25   5411 |    5  1131    0.0076    0.0015    0.0003 |
    1.135     5     5     5.0     25   5436 |    5  1136    0.0068    0.0014    0.0003 |
    1.140     5     5     5.0     25   5461 |    5  1141    0.0070    0.0014    0.0003 |
    1.145     5     5     5.0     25   5486 |    5  1146    0.0072    0.0014    0.0003 |
    1.150     5     5     5.0     25   5511 |    5  1151    0.0059    0.0012    0.0002 |
    1.155     5     5     5.0     25   5536 |    5  1156    0.0062    0.0012    0.0002 |
    1.160     5     5     5.0     25   5561 |    5  1161    0.0073    0.0015    0.0003 |
