          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.895    53    53    53.0    265  47436 |    5   896    0.0070    0.0014    0.0000 |
    0.900    53    53    53.0    265  47701 |    5   901    0.0080    0.0016    0.0000 |
    0.905    53    53    53.0    265  47966 |    5   906    0.0087    0.0017    0.0000 |
    0.910    53    53    53.0    265  48231 |    5   911    0.0072    0.0014    0.0000 |
    0.915    53    53    53.0    265  48496 |    5   916    0.0083    0.0017    0.0000 |
    0.920    53    53    53.0    265  48761 |    5   921    0.0070    0.0014    0.0000 |
    0.925    53    53    53.0    265  49026 |    5   926    0.0074    0.0015    0.0000 |
    0.930    53    53    53.0    265  49291 |    5   931    0.0076    0.0015    0.0000 |
    0.935    53    53    53.0    265  49556 |    5   936    0.0070    0.0014    0.0000 |
    0.940    53    53    53.0    265  49821 |    5   941    0.0070    0.0014    0.0000 |
    0.945    53    53    53.0    265  50086 |    5   946    0.0066    0.0013    0.0000 |
    0.950    53    53    53.0    265  50351 |    5   951    0.0068    0.0014    0.0000 |
    0.955    53    53    53.0    265  50616 |    5   956    0.0070    0.0014    0.0000 |
    0.960    53    53    53.0    265  50881 |    5   961    0.0072    0.0014    0.0000 |
    0.965    53    53    53.0    265  51146 |    5   966    0.0085    0.0017    0.0000 |
    0.970    53    53    53.0    265  51411 |    5   971    0.0083    0.0017    0.0000 |
    0.975    53    53    53.0    265  51676 |    5   976    0.0067    0.0013    0.0000 |
    0.980    53    53    53.0    265  51941 |    5   981    0.0077    0.0015    0.0000 |
    0.985    53    53    53.0    265  52206 |    5   986    0.0072    0.0014    0.0000 |
    0.990    53    53    53.0    265  52471 |    5   991    0.0067    0.0013    0.0000 |
    0.995    53    53    53.0    265  52736 |    5   996    0.0080    0.0016    0.0000 |
    1.000    53    53    53.0    265  53001 |    5  1001    0.0069    0.0014    0.0000 |
    1.005    53    53    53.0    265  53266 |    5  1006    0.0069    0.0014    0.0000 |
    1.010    53    53    53.0    265  53531 |    5  1011    0.0071    0.0014    0.0000 |
    1.015    53    53    53.0    265  53796 |    5  1016    0.0065    0.0013    0.0000 |
    1.020    53    53    53.0    265  54061 |    5  1021    0.0068    0.0014    0.0000 |
    1.025    53    53    53.0    265  54326 |    5  1026    0.0068    0.0014    0.0000 |
    1.030    53    53    53.0    265  54591 |    5  1031    0.0077    0.0015    0.0000 |
    1.035    53    53    53.0    265  54856 |    5  1036    0.0067    0.0013    0.0000 |
    1.040    53    53    53.0    265  55121 |    5  1041    0.0080    0.0016    0.0000 |
    1.045    53    53    53.0    265  55386 |    5  1046    0.0072    0.0014    0.0000 |
    1.050    53    53    53.0    265  55651 |    5  1051    0.0078    0.0016    0.0000 |
    1.055    53    53    53.0    265  55916 |    5  1056    0.0073    0.0015    0.0000 |
    1.060    53    53    53.0    265  56181 |    5  1061    0.0069    0.0014    0.0000 |
    1.065    53    53    53.0    265  56446 |    5  1066    0.0078    0.0016    0.0000 |
    1.070    53    53    53.0    265  56711 |    5  1071    0.0073    0.0015    0.0000 |
    1.075    53    53    53.0    265  56976 |    5  1076    0.0074    0.0015    0.0000 |
    1.080    53    53    53.0    265  57241 |    5  1081    0.0066    0.0013    0.0000 |
    1.085    53    53    53.0    265  57506 |    5  1086    0.0069    0.0014    0.0000 |
    1.090    53    53    53.0    265  57771 |    5  1091    0.0072    0.0014    0.0000 |
    1.095    53    53    53.0    265  58036 |    5  1096    0.0067    0.0013    0.0000 |
    1.100    53    53    53.0    265  58301 |    5  1101    0.0081    0.0016    0.0000 |
    1.105    53    53    53.0    265  58566 |    5  1106    0.0085    0.0017    0.0000 |
    1.110    53    53    53.0    265  58831 |    5  1111    0.0069    0.0014    0.0000 |
    1.115    53    53    53.0    265  59096 |    5  1116    0.0083    0.0017    0.0000 |
    1.120    53    53    53.0    265  59361 |    5  1121    0.0071    0.0014    0.0000 |
    1.125    53    53    53.0    265  59626 |    5  1126    0.0067    0.0013    0.0000 |
    1.130    52    52    52.0    260  59886 |    5  1131    0.0082    0.0016    0.0000 |
    1.135    52    52    52.0    260  60146 |    5  1136    0.0070    0.0014    0.0000 |
    1.140    52    52    52.0    260  60406 |    5  1141    0.0069    0.0014    0.0000 |
    1.145    52    52    52.0    260  60666 |    5  1146    0.0070    0.0014    0.0000 |
    1.150    52    52    52.0    260  60926 |    5  1151    0.0068    0.0014    0.0000 |
    1.155    52    52    52.0    260  61186 |    5  1156    0.0066    0.0013    0.0000 |
    1.160    52    52    52.0    260  61446 |    5  1161    0.0065    0.0013    0.0000 |
    1.165    52    52    52.0    260  61706 |    5  1166    0.0074    0.0015    0.0000 |
    1.170    52    52    52.0    260  61966 |    5  1171    0.0068    0.0014    0.0000 |
    1.175    52    52    52.0    260  62226 |    5  1176    0.0081    0.0016    0.0000 |
    1.180    52    52    52.0    260  62486 |    5  1181    0.0069    0.0014    0.0000 |
    1.185    52    52    52.0    260  62746 |    5  1186    0.0073    0.0015    0.0000 |
    1.190    52    52    52.0    260  63006 |    5  1191    0.0071    0.0014    0.0000 |
    1.195    52    52    52.0    260  63266 |    5  1196    0.0074    0.0015    0.0000 |
    1.200    52    52    52.0    260  63526 |    5  1201    0.0069    0.0014    0.0000 |
    1.205    52    52    52.0    260  63786 |    5  1206    0.0064    0.0013    0.0000 |
    1.210    52    52    52.0    260  64046 |    5  1211    0.0077    0.0015    0.0000 |
    1.215    52    52    52.0    260  64306 |    5  1216    0.0067    0.0013    0.0000 |
    1.220    52    52    52.0    260  64566 |    5  1221    0.0069    0.0014    0.0000 |
    1.225    52    52    52.0    260  64826 |    5  1226    0.0067    0.0013    0.0000 |
    1.230    52    52    52.0    260  65086 |    5  1231    0.0067    0.0013    0.0000 |
    1.235    52    52    52.0    260  65346 |    5  1236    0.0073    0.0015    0.0000 |
    1.240    52    52    52.0    260  65606 |    5  1241    0.0072    0.0014    0.0000 |
    1.245    52    52    52.0    260  65866 |    5  1246    0.0081    0.0016    0.0000 |
    1.250    52    52    52.0    260  66126 |    5  1251    0.0087    0.0017    0.0000 |
    1.255    52    52    52.0    260  66386 |    5  1256    0.0074    0.0015    0.0000 |
    1.260    52    52    52.0    260  66646 |    5  1261    0.0068    0.0014    0.0000 |
    1.265    52    52    52.0    260  66906 |    5  1266    0.0085    0.0017    0.0000 |
    1.270    52    52    52.0    260  67166 |    5  1271    0.0068    0.0014    0.0000 |
    1.275    52    52    52.0    260  67426 |    5  1276    0.0068    0.0014    0.0000 |
    1.280    52    52    52.0    260  67686 |    5  1281    0.0071    0.0014    0.0000 |
    1.285    52    52    52.0    260  67946 |    5  1286    0.0068    0.0014    0.0000 |
    1.290    52    52    52.0    260  68206 |    5  1291    0.0068    0.0014    0.0000 |
    1.295    52    52    52.0    260  68466 |    5  1296    0.0067    0.0013    0.0000 |
    1.300    52    52    52.0    260  68726 |    5  1301    0.0084    0.0017    0.0000 |
    1.305    52    52    52.0    260  68986 |    5  1306    0.0064    0.0013    0.0000 |
    1.310    52    52    52.0    260  69246 |    5  1311    0.0084    0.0017    0.0000 |
    1.315    52    52    52.0    260  69506 |    5  1316    0.0068    0.0014    0.0000 |
    1.320    52    52    52.0    260  69766 |    5  1321    0.0077    0.0015    0.0000 |
    1.325    52    52    52.0    260  70026 |    5  1326    0.0070    0.0014    0.0000 |
    1.330    52    52    52.0    260  70286 |    5  1331    0.0066    0.0013    0.0000 |
    1.335    52    52    52.0    260  70546 |    5  1336    0.0071    0.0014    0.0000 |
    1.340    52    52    52.0    260  70806 |    5  1341    0.0064    0.0013    0.0000 |
    1.345    52    52    52.0    260  71066 |    5  1346    0.0079    0.0016    0.0000 |
    1.350    52    52    52.0    260  71326 |    5  1351    0.0066    0.0013    0.0000 |
    1.355    52    52    52.0    260  71586 |    5  1356    0.0071    0.0014    0.0000 |
    1.360    52    52    52.0    260  71846 |    5  1361    0.0072    0.0014    0.0000 |
    1.365    52    52    52.0    260  72106 |    5  1366    0.0069    0.0014    0.0000 |
    1.370    52    52    52.0    260  72366 |    5  1371    0.0082    0.0016    0.0000 |
    1.375    52    52    52.0    260  72626 |    5  1376    0.0065    0.0013    0.0000 |
    1.380    52    52    52.0    260  72886 |    5  1381    0.0075    0.0015    0.0000 |
    1.385    52    52    52.0    260  73146 |    5  1386    0.0074    0.0015    0.0000 |
    1.390    52    52    52.0    260  73406 |    5  1391    0.0076    0.0015    0.0000 |
    1.395    52    52    52.0    260  73666 |    5  1396    0.0067    0.0013    0.0000 |
    1.400    52    52    52.0    260  73926 |    5  1401    0.0071    0.0014    0.0000 |
    1.405    52    52    52.0    260  74186 |    5  1406    0.0069    0.0014    0.0000 |
    1.410    52    52    52.0    260  74446 |    5  1411    0.0068    0.0014    0.0000 |
    1.415    52    52    52.0    260  74706 |    5  1416    0.0068    0.0014    0.0000 |
    1.420    52    52    52.0    260  74966 |    5  1421    0.0066    0.0013    0.0000 |
    1.425    52    52    52.0    260  75226 |    5  1426    0.0069    0.0014    0.0000 |
    1.430    52    52    52.0    260  75486 |    5  1431    0.0074    0.0015    0.0000 |
    1.435    52    52    52.0    260  75746 |    5  1436    0.0069    0.0014    0.0000 |
    1.440    52    52    52.0    260  76006 |    5  1441    0.0081    0.0016    0.0000 |
    1.445    52    52    52.0    260  76266 |    5  1446    0.0062    0.0012    0.0000 |
    1.450    52    52    52.0    260  76526 |    5  1451    0.0078    0.0016    0.0000 |
    1.455    52    52    52.0    260  76786 |    5  1456    0.0068    0.0014    0.0000 |
    1.460    52    52    52.0    260  77046 |    5  1461    0.0081    0.0016    0.0000 |
    1.465    52    52    52.0    260  77306 |    5  1466    0.0067    0.0013    0.0000 |
    1.470    52    52    52.0    260  77566 |    5  1471    0.0072    0.0014    0.0000 |
